"","L","R"
"3166","CT030017.2","si:ch211-66e2.5"
"3167","si:ch211-283g2.2","si:ch211-66e2.3"
"3168","si:ch211-283g2.2","si:ch73-208g10.1"
"3169","si:ch211-283g2.2","sc:d0202"
"3171","si:ch211-283g2.2","icam3"
"3172","si:ch211-283g2.2","si:ch211-74m13.1"
"3173","si:ch211-283g2.2","si:ch211-66e2.5"
"3174","asgrl2","si:ch211-66e2.3"
"3175","asgrl2","si:ch73-208g10.1"
"3176","asgrl2","sc:d0202"
"3178","asgrl2","icam3"
"3179","asgrl2","si:ch211-74m13.1"
"3180","asgrl2","si:ch211-66e2.5"
"3181","si:ch211-283g2.3","si:ch211-66e2.3"
"3182","si:ch211-283g2.3","si:ch73-208g10.1"
"3183","si:ch211-283g2.3","sc:d0202"
"3185","si:ch211-283g2.3","icam3"
"3186","si:ch211-283g2.3","si:ch211-74m13.1"
"3187","si:ch211-283g2.3","si:ch211-66e2.5"
"3188","BX640512.3","si:ch211-66e2.3"
"3189","BX640512.3","si:ch73-208g10.1"
"3190","BX640512.3","sc:d0202"
"3192","BX640512.3","icam3"
"3193","BX640512.3","si:ch211-74m13.1"
"3194","BX640512.3","si:ch211-66e2.5"
"3195","asgrl1","si:ch211-66e2.3"
"3196","asgrl1","si:ch73-208g10.1"
"3197","asgrl1","sc:d0202"
"3199","asgrl1","icam3"
"3200","asgrl1","si:ch211-74m13.1"
"3201","asgrl1","si:ch211-66e2.5"
"3202","cd226","zgc:113337"
"3203","cd226","zgc:172122"
"3204","cd226","sc:d189"
"3205","cd226","si:ch73-22o12.1"
"3206","cd226","pvrl2l"
"3210","cd226","si:ch211-214p13.3"
"3211","cd226","si:ch211-222f23.6"
"3212","cd226","si:ch211-141e20.2"
"3215","CR381673.1","si:dkey-11f4.20"
"3216","si:ch211-209f23.6","si:dkey-11f4.20"
"3217","si:dkey-53k12.1","si:dkey-11f4.20"
"3218","CR381673.2","si:dkey-11f4.20"
"3219","si:dkey-261h17.1","selp"
"3220","si:ch211-286o17.1","selp"
"3223","CR318624.2","si:dkey-237i9.8"
"3224","CR318624.2","pecam1"
"3225","cd44a","selp"
"3226","cd44b","selp"
"3227","si:dkey-11f4.20","si:dkey-11f4.14"
"3228","si:dkey-11f4.20","CR381673.1"
"3229","si:dkey-11f4.20","si:ch211-209f23.6"
"3230","si:dkey-11f4.20","si:dkey-53k12.1"
"3231","si:dkey-11f4.20","CR381673.2"
"3232","si:dkey-14d8.20","si:dkey-14d8.20"
"3233","si:dkey-14d8.20","si:ch211-150o23.3"
"3234","si:ch73-127m5.1","si:dkey-14d8.20"
"3235","si:ch73-127m5.1","si:ch211-150o23.3"
"3236","si:ch211-51a6.2","si:dkey-14d8.20"
"3237","si:ch211-51a6.2","si:ch211-150o23.3"
"3238","si:ch1073-15f19.2","si:dkey-15j16.3"
"3239","si:ch1073-15f19.2","si:dkey-15j16.6"
"3240","si:ch1073-15f19.2","nectin1b"
"3241","si:ch1073-15f19.2","nectin1a"
"3242","si:ch1073-15f19.2","zgc:113337"
"3243","si:ch1073-15f19.2","zgc:172122"
"3244","si:ch1073-15f19.2","sc:d189"
"3245","si:ch1073-15f19.2","si:ch211-214p13.3"
"3246","si:ch1073-15f19.2","si:ch211-222f23.6"
"3247","si:ch1073-15f19.2","si:ch211-141e20.2"
"3248","si:ch1073-15f19.2","si:ch73-22o12.1"
"3249","si:ch1073-15f19.2","pvrl2l"
"3250","si:dkey-30c15.12","egfra"
"3251","si:dkey-30c15.12","LO018309.1"
"3252","si:dkey-30c15.12","igf1ra"
"3253","si:dkey-30c15.12","igf1rb"
"3254","si:dkey-30c15.12","CABZ01084131.1"
"3255","si:dkey-30c15.12","si:ch1073-391i24.1"
"3256","si:dkey-30c15.12","CABZ01044099.1"
"3257","cel.1","cxcr4b"
