"","L","R"
"222","Cd70","Cd27"
"223","Tnfsf8","Tnfrsf8"
"224","Tnfsf9","Tnfrsf9"
"225","Tnfsf4","Tnfrsf4"
"226","Tnfsf18","Tnfrsf18"
"227","Tnfsf13","Tnfrsf17"
"228","Tnfsf13","Tnfrsf13b"
"229","Tnfsf13b","Tnfrsf17"
"230","Tnfsf13b","Tnfrsf13b"
"231","Tnfsf13b","Tnfrsf13c"
"232","Eda","Edar"
"233","Eda","Eda2r"
"234","Tgfb1","Tgfbr1"
"235","Tgfb1","Tgfbr2"
"236","Tgfb2","Tgfbr1"
"237","Tgfb2","Tgfbr2"
"238","Tgfb3","Tgfbr1"
"239","Tgfb3","Tgfbr2"
"240","Inhba","Acvr1"
"241","Inhba","Acvr2a"
"242","Inhba","Acvr1b"
"243","Inhba","Acvr2b"
"244","Inhbb","Acvr1"
"245","Inhbb","Acvr2a"
"246","Inhbb","Acvr1b"
"247","Inhbb","Acvr2b"
"248","Inhbc","Acvr1"
"249","Inhbc","Acvr2a"
"250","Inhbc","Acvr1b"
"251","Inhbc","Acvr2b"
"252","Inhbe","Acvr1"
"253","Inhbe","Acvr2a"
"254","Inhbe","Acvr1b"
"255","Inhbe","Acvr2b"
"256","Amh","Acvr1"
"257","Amh","Amhr2"
"258","Bmp2","Acvr1"
"259","Bmp2","Bmpr2"
"260","Bmp2","Bmpr1b"
"261","Bmp2","Bmpr1a"
"262","Bmp7","Bmpr1b"
"263","Bmp7","Acvr2a"
"264","Gdf5","Bmpr1a"
"265","Gdf5","Acvr2a"
"266","Il1a","Il1rap"
"267","Il1a","Il1r1"
"268","Il1a","Il1r2"
"269","Il1b","Il1rap"
"270","Il1b","Il1r1"
"271","Il1b","Il1r2"
"272","Il18","Il18rap"
"273","Il18","Il18r1"
"274","Cxcl11","Ackr3"
"275","Cxcl12","Ackr3"
"276","Ccl1","Ccr8"
"277","Il25","Il17rb"
"278","Il25","Il17ra"
"279","Il17a","Il17ra"
"280","Il17a","Il17rc"
"281","Il17f","Il17ra"
"282","Il17f","Il17rc"
"283","Il17c","Il17ra"
"284","Il17c","Il17re"
"285","Il17b","Il17rb"
"286","Cd80","Cd28"
"287","Cd80","Ctla4"
"288","Cd86","Cd28"
"289","Cd86","Ctla4"
"290","H2-T5","Cd8a"
"291","H2-D1","Cd8a"
"292","H2-Q6","Cd8a"
"293","H2-Q7","Cd8a"
"294","H2-Q1","Cd8a"
"295","H2-Q10","Cd8a"
"296","H2-Q2","Cd8a"
"297","H2-Q4","Cd8a"
"298","H2-T13","Cd8a"
"299","H2-K1","Cd8a"
"300","H2-T7","Cd8a"
"301","Cd274","Pdcd1"
"302","Pdcd1lg2","Pdcd1"
"303","Itgb2l","Cd226"
"304","Itgb2","Cd226"
"305","Itgal","Cd226"
"306","Itgb2l","Icam1"
"307","Itgb2","Icam1"
"308","Itgal","Icam1"
"309","Icam1","Itgb2l"
"310","Icam1","Itgb2"
"311","Icam1","Itgal"
"312","Cd28","Cd80"
"313","Itgam","Icam1"
"314","Itgb1","Vcam1"
"315","Itga4","Vcam1"
"316","Itga9","Vcam1"
"317","Selplg","Selp"
"318","Selplg","Sele"
"319","Pecam1","Pecam1"
"320","Pvr","Cd226"
"321","Nectin2","Cd226"
"322","Cntn1","Nrcam"
"323","Ncam1","Ncam1"
"324","L1cam","L1cam"
"325","Nectin1","Nectin1"
"326","Alcam","Cd6"
"327","Ptprc","Cd22"
"328","Cd40","Cd40lg"
"329","F11r","F11r"
"330","Jam2","Jam2"
"331","Jam3","Jam2"
"332","Jam2","Jam3"
"333","Jam3","Jam3"
"334","Jam3","Itgb2l"
"335","Jam3","Itgb2"
"336","Jam3","Itgam"
"337","Selp","Selplg"
"338","Icam2","Itgb2l"
"339","Icam2","Itgb2"
"340","Icam2","Itgal"
"341","F11r","Itgb2l"
"342","F11r","Itgb2"
"343","F11r","Itgal"
"344","Icam2","Itgam"
"345","Jam2","Itgb1"
"346","Jam2","Itga4"
"347","Vcam1","Itgb7"
"348","Vcam1","Itga4"
"349","Madcam1","Itgb7"
"350","Madcam1","Itga4"
"351","Sell","Madcam1"
"352","Cd34","Sell"
"353","Sele","Glg1"
"354","Nectin3","Nectin1"
"355","L1cam","Ncam1"
"356","Cadm1","Cadm1"
"357","Cadm3","Cadm3"
"358","Ptprm","Ptprm"
"359","Cntn2","L1cam"
"360","Cntn2","Cntnap2"
"361","Nectin2","Nectin3"
"362","Cd80","Cd274"
"363","Pvr","Tigit"
"364","Nectin2","Tigit"
"365","Cd274","Cd80"
"366","Nectin3","Tigit"
"367","F11r","Jam2"
"368","F11r","Jam3"
"369","Lrrc4c","Ntng1"
"370","Lrrc4","Ntng2"
"371","Lrrc4b","Ptprf"
"372","Cga","Fshr"
"373","Cga","Lhcgr"
"374","Cga","Tshr"
"376","Col1a1","Itgb1"
"377","Col1a1","Itga1"
"378","Lamc3","Itgb1"
"379","Lamc3","Itga1"
"380","Col1a1","Itga2"
"381","Lamc3","Itga2"
"382","Chad","Itga2"
"383","Chad","Itgb1"
"384","Lamc3","Itga3"
"385","Reln","Itga3"
"386","Reln","Itgb1"
"387","Comp","Itga3"
"388","Comp","Itgb1"
"389","Col1a1","Itga3"
"390","Fn1","Itga3"
"391","Fn1","Itgb1"
"392","Fn1","Itga4"
"393","Spp1","Itga4"
"394","Spp1","Itgb1"
"395","Fn1","Itga5"
"396","Lamc3","Itga6"
"397","Lamc3","Itga7"
"398","Fn1","Itga8"
"399","Vtn","Itgb1"
"400","Vtn","Itga8"
"401","Tnc","Itgb1"
"402","Tnc","Itga8"
"403","Tnc","Itga9"
"404","Spp1","Itga9"
"405","Col1a1","Itga9"
"406","Lamc3","Itga9"
"407","Col1a1","Itga10"
"408","Col1a1","Itga11"
"409","Fn1","Itgav"
"410","Spp1","Itgav"
"411","Vtn","Itgav"
"412","Fn1","Itgb7"
"413","Vtn","Itgb3"
"414","Fn1","Itgb3"
"415","Vwf","Itgav"
"416","Vwf","Itgb3"
"417","Spp1","Itgb3"
"418","Tnc","Itgav"
"419","Tnc","Itgb3"
"420","Ibsp","Itgav"
"421","Ibsp","Itgb3"
"422","Comp","Itgav"
"423","Comp","Itgb3"
"424","Vtn","Itga2b"
"425","Fn1","Itga2b"
"426","Vwf","Itga2b"
"427","Comp","Itga2b"
"428","Vtn","Itgb5"
"429","Ibsp","Itgb5"
"430","Spp1","Itgb5"
"431","Fn1","Itgb6"
"432","Tnc","Itgb6"
"433","Col1a1","Itgav"
"434","Col1a1","Itgb8"
"435","Fn1","Itgb8"
"436","Lamc3","Itgav"
"437","Lamc3","Itgb8"
"438","Vtn","Itgb8"
"439","Lamc3","Itgb4"
"440","Col1a1","Cd44"
"441","Fn1","Cd44"
"442","Lamc3","Cd44"
"443","Col1a1","Sdc1"
"444","Fn1","Sdc1"
"445","Comp","Sdc1"
"446","Tnc","Sdc1"
"447","Comp","Cd36"
"448","Vwf","Gp9"
"449","Vwf","Gp1bb"
"450","Vwf","Gp1ba"
"451","Col1a1","Gp6"
"452","Lamc3","Dag1"
"453","Agrn","Dag1"
"454","Hspg2","Dag1"
"455","Comp","Cd47"
"456","C3","C3ar1"
"457","Adm2","Calcr"
"458","Calca","Calcr"
"459","Calcb","Calcr"
"460","Iapp","Calcr"
"462","Adm","Mrgprb8"
"463","Adm","Mrgprb5"
"464","Adm","Mrgprb2"
"465","Adm","Mrgpra3"
"466","Adm","Mrgpra5"
"467","Adm","Mrgpra7"
"468","Adm","Mrgprb3"
"469","Adm","Mrgprx2"
"470","Adm","Mrgprb4"
"471","Adm","Mrgprb1"
"472","Adm","Gpr182"
"473","Adm","Calcr"
"474","Cort","Sstr1"
"475","Cort","Sstr4"
"476","Cort","Sstr5"
"477","Cort","Sstr3"
"478","Cort","Sstr2"
"479","Cort","Mrgprb8"
"480","Cort","Mrgprb5"
"481","Cort","Mrgprb2"
"482","Cort","Mrgpra3"
"483","Cort","Mrgpra5"
"484","Cort","Mrgpra7"
"485","Cort","Mrgprb3"
"486","Cort","Mrgprx2"
"487","Cort","Mrgprb4"
"488","Cort","Mrgprb1"
"489","Sst","Sstr1"
"490","Sst","Sstr4"
"491","Sst","Sstr5"
"492","Sst","Sstr3"
"493","Sst","Sstr2"
"494","Rspo1","Lgr4"
"495","Rspo1","Lgr6"
"496","Rspo1","Lgr5"
"497","Rspo4","Lgr4"
"498","Rspo4","Lgr6"
"499","Rspo4","Lgr5"
"500","Rspo3","Lgr4"
"501","Rspo3","Lgr6"
"502","Rspo3","Lgr5"
"503","Rspo2","Lgr4"
