"","L","R"
"1212","FGF10","FGFR3"
"1213","FGF10","FGFR4"
"1214","FGF11","FGFR1"
"1215","FGF11","FGFR2"
"1216","FGF11","FGFR3"
"1217","FGF11","FGFR4"
"1218","FGF12","FGFR1"
"1219","FGF12","FGFR2"
"1220","FGF12","FGFR3"
"1221","FGF12","FGFR4"
"1222","FGF13","FGFR1"
"1223","FGF13","FGFR2"
"1224","FGF13","FGFR3"
"1225","FGF13","FGFR4"
"1226","FGF14","FGFR1"
"1227","FGF14","FGFR2"
"1228","FGF14","FGFR3"
"1229","FGF14","FGFR4"
"1230","FGF16","FGFR1"
"1231","FGF16","FGFR2"
"1232","FGF16","FGFR3"
"1233","FGF16","FGFR4"
"1234","FGF17","FGFR1"
"1235","FGF17","FGFR2"
"1236","FGF17","FGFR3"
"1237","FGF17","FGFR4"
"1238","FGF18","FGFR1"
"1239","FGF18","FGFR2"
"1240","FGF18","FGFR3"
"1241","FGF18","FGFR4"
"1242","FGF19","FGFR1"
"1243","FGF19","FGFR2"
"1244","FGF19","FGFR3"
"1245","FGF19","FGFR4"
"1246","FGF1","FGFR1"
"1247","FGF1","FGFR2"
"1248","FGF1","FGFR3"
"1249","FGF1","FGFR4"
"1250","FGF22","FGFR2"
"1251","FGF23","FGFR1"
"1252","FGF23","FGFR2"
"1253","FGF23","FGFR4"
"1254","FGF2","FGFR1"
"1255","FGF2","FGFR2"
"1256","FGF2","FGFR3"
"1257","FGF2","FGFR4"
"1258","FGF2","SDC2"
"1259","FGF2","SDC4"
"1260","FGF3","FGFR1"
"1261","FGF3","FGFR2"
"1262","FGF4","FGFR1"
"1263","FGF4","FGFR2"
"1264","FGF4","FGFR3"
"1265","FGF4","FGFR4"
"1266","FGF5","FGFR1"
"1267","FGF5","FGFR2"
"1268","FGF5","FGFR3"
"1269","FGF5","FGFR4"
"1270","FGF6","FGFR1"
"1271","FGF6","FGFR2"
"1272","FGF6","FGFR4"
"1273","FGF7","FGFR2"
"1274","FGF8","FGFR1"
"1275","FGF8","FGFR2"
"1276","FGF8","FGFR3"
"1277","FGF8","FGFR4"
"1278","FGF9","FGFR1"
"1279","FGF9","FGFR2"
"1280","FGF9","FGFR3"
"1281","FGF9","FGFR4"
"1283","FN1","ITGA2"
"1292","FN1","SDC2"
"1294","GAD1","GRM4"
"1308","GDF11","ACVR1B"
"1309","GDF11","ACVR2A"
"1310","GDF11","ACVR2B"
"1311","GDF2","ACVRL1"
"1312","GDF5","BMPR1B"
"1313","GDF5","BMPR2"
"1314","GDF5","ROR2"
"1315","GDF6","BMPR1A"
"1316","GDF6","BMPR2"
"1317","GDF7","ACVR2A"
"1318","GDF7","BMPR1A"
"1319","GDF7","BMPR2"
"1320","GDF9","BMPR2"
"1321","GDF9","TGFBR1"
"1322","GDNF","GFRA1"
"1323","GDNF","GFRA2"
"1324","GDNF","RET"
"1327","GHRH","GHRHR"
"1330","GHRL","GPR39"
"1334","GPHA2","TSHR"
"1335","GPI","AMFR"
"1337","GSTP1","TRAF2"
"1338","GUCA2A","GUCY2C"
"1339","GUCA2B","GUCY2C"
"1340","GZMB","IGF2R"
"1341","HAS2","CD44"
"1342","HAS2","HMMR"
"1347","HDC","HRH1"
"1348","HDC","HRH2"
"1349","HDC","HRH3"
"1350","HDC","HRH4"
"1353","HLA-A","KIR3DL2"
"1354","HLA-B","KIR3DL1"
"1355","HLA-C","KIR2DL1"
"1356","HLA-C","KIR2DL3"
"1357","HLA-C","KIR2DS4"
"1358","HLA-E","KLRC1"
"1359","HLA-E","KLRC2"
"1360","HLA-E","KLRD1"
"1361","HLA-G","KIR2DL4"
"1362","HLA-G","KLRC1"
"1363","HLA-G","KLRD1"
"1364","HLA-G","LILRB1"
"1365","HSP90B1","LRP1"
"1366","HSPG2","PTPRS"
"1369","ICAM1","ITGAX"
"1375","ICAM4","ITGA2B"
"1376","ICAM4","ITGAL"
"1377","ICAM4","ITGAM"
"1378","ICAM4","ITGAV"
"1379","ICAM4","ITGB2"
"1380","ICAM4","ITGB3"
"1381","ICAM5","ITGAL"
"1382","ICAM5","ITGB2"
"1383","IFNA10","IFNAR1"
"1384","IFNA10","IFNAR2"
"1385","IFNA13","IFNAR1"
"1386","IFNA13","IFNAR2"
"1387","IFNA14","IFNAR1"
"1388","IFNA14","IFNAR2"
"1389","IFNA16","IFNAR1"
"1390","IFNA16","IFNAR2"
"1391","IFNA17","IFNAR1"
"1392","IFNA17","IFNAR2"
"1395","IFNA21","IFNAR1"
"1396","IFNA21","IFNAR2"
"1397","IFNA2","IFNAR1"
"1398","IFNA2","IFNAR2"
"1399","IFNA4","IFNAR1"
"1400","IFNA4","IFNAR2"
"1401","IFNA5","IFNAR1"
"1402","IFNA5","IFNAR2"
"1403","IFNA6","IFNAR1"
"1404","IFNA6","IFNAR2"
"1405","IFNA7","IFNAR1"
"1406","IFNA7","IFNAR2"
"1407","IFNA8","IFNAR1"
"1408","IFNA8","IFNAR2"
"1423","IGF2","IGF2R"
"1424","IGF2","INSR"
"1425","IHH","HHIP"
"1426","IHH","PTCH1"
"1433","IL12B","IL12RB1"
"1434","IL12B","IL12RB2"
"1436","IL13","IL13RA2"
"1437","IL13","IL2RG"
"1442","IL16","CD4"
"1447","IL18","IL1RAPL1"
"1449","IL19","IL20RB"
"1455","IL1RN","IL1R1"
"1456","IL1RN","IL1R2"
"1458","IL20","IL20RB"
"1462","IL22","IL10RA"
"1468","IL24","IL20RB"
"1474","IL31","IL31RA"
"1475","IL31","OSMR"
"1489","INHA","ACVR1"
"1490","INHA","ACVR1B"
"1491","INHA","ACVR2A"
"1492","INHA","ACVR2B"
"1493","INHA","TGFBR3"
"1498","INHBA","BAMBI"
"1511","JAG1","NOTCH1"
"1512","JAG1","NOTCH2"
"1513","JAG1","NOTCH3"
"1514","JAG1","NOTCH4"
"1515","JAG2","NOTCH1"
"1516","JAG2","NOTCH2"
"1517","JAG2","NOTCH3"
"1518","JAG2","NOTCH4"
"1523","KNG1","GPR135"
"1524","LAMA1","ITGA7"
"1525","LAMA1","ITGB1"
"1526","LAMA1","ITGB8"
"1527","LAMA1","RPSA"
"1528","LAMA2","ITGA7"
"1529","LAMA2","ITGB1"
"1530","LAMA2","RPSA"
"1531","LAMB1","ITGA6"
"1532","LAMB1","ITGB1"
"1533","LAMB2","RPSA"
"1534","LAMC2","ITGA3"
"1535","LAMC2","ITGA6"
"1536","LAMC2","ITGB1"
"1537","LAMC2","ITGB4"
"1538","LEFTY2","ACVR2B"
"1543","LIPH","LPAR1"
"1544","LIPH","LPAR2"
"1545","LIPH","LPAR4"
"1546","LRPAP1","LRP1"
"1551","LTB","CD40"
"1553","LTF","LRP1"
"1554","LTF","LRP11"
"1557","MDK","ALK"
"1558","MDK","PTPRB"
"1559","MDK","PTPRZ1"
"1561","MMP13","LRP1"
"1562","MMP9","LRP1"
"1564","NAMPT","INSR"
"1565","NCAM1","ROBO1"
"1566","NCAM1","ROBO3"
"1568","NDP","LGR4"
"1570","NGF","NTRK1"
"1571","NGF","SORT1"
"1572","NID1","PTPRF"
"1573","NLGN1","NRXN1"
"1574","NLGN1","NRXN3"
"1575","NLGN2","NRXN1"
"1576","NLGN2","NRXN2"
"1577","NLGN2","NRXN3"
"1578","NLGN3","NRXN1"
"1579","NLGN3","NRXN2"
"1580","NLGN3","NRXN3"
"1587","NODAL","ACVR1B"
"1588","NODAL","ACVR1C"
"1589","NODAL","ACVR2A"
"1590","NODAL","ACVR2B"
"1595","NPNT","ITGA8"
"1596","NPNT","ITGB1"
"1598","NPPA","NPR3"
"1600","NPPB","NPR2"
"1601","NPPB","NPR3"
"1613","NRG1","ERBB2"
"1620","NRTN","GFRA1"
"1621","NRTN","GFRA2"
"1622","NRTN","RET"
"1624","NTF3","NTRK1"
"1625","NTF3","NTRK2"
"1628","NTF4","NTRK1"
"1629","NTF4","NTRK2"
"1630","NTF4","NTRK3"
"1631","NTN1","DCC"
"1632","NTN1","UNC5C"
"1633","NTN3","CDON"
"1634","NTN3","NEO1"
"1635","NTN4","DCC"
"1636","NTN4","UNC5A"
"1637","NTNG1","LRRC4C"
"1640","NUCB2","ERAP1"
"1641","NXPH1","NRXN1"
"1642","NXPH1","NRXN2"
"1643","NXPH1","NRXN3"
"1644","NXPH3","NRXN1"
"1645","NXPH3","NRXN2"
"1646","NXPH3","NRXN3"
"1647","OMG","LINGO1"
"1648","OMG","TNFRSF1B"
"1663","PDGFD","PDGFRB"
"1668","PENK","OGFR"
"1671","PF4","FGFR2"
"1672","PF4","LDLR"
"1673","PF4","PROCR"
"1674","PF4","THBD"
"1675","PGF","FLT1"
"1676","PGF","NRP1"
"1677","PLAT","LRP1"
"1678","PLAU","LRP1"
"1679","PLAU","PLAUR"
"1680","PLG","ITGA9"
"1681","PLG","ITGB1"
"1685","PODXL2","SELL"
"1694","PPBP","CXCR1"
"1700","PRND","RPSA"
"1701","PROC","PROCR"
"1710","PSAP","LRP1"
"1711","PSEN1","NCSTN"
"1712","PSPN","GFRA4"
"1713","PSPN","RET"
"1714","PTDSS1","JMJD6"
"1715","PTDSS1","SCARB1"
"1716","PTGS2","PTGDR2"
"1722","PTH","PTH1R"
"1723","PTH","PTH2R"
"1724","PTN","PTPRB"
"1725","PTN","PTPRZ1"
"1730","QRFP","P2RY14"
"1736","RELN","LRP8"
"1737","RELN","VLDLR"
"1738","REN","ATP6AP2"
"1739","RGMA","NEO1"
"1752","RSPO1","LRP6"
"1762","RTN4","LINGO1"
"1763","RTN4","RTN4R"
"1764","RTN4","TNFRSF19"
"1769","SEMA3A","NRP1"
"1770","SEMA3A","PLXNA1"
"1771","SEMA3A","PLXNA2"
"1772","SEMA3A","PLXNA4"
"1773","SEMA3B","NRP1"
"1774","SEMA3C","NRP2"
"1775","SEMA3E","PLXND1"
"1776","SEMA3F","NRP2"
"1777","SEMA3F","PLXNA3"
"1778","SEMA4D","MET"
"1779","SEMA4D","PLXNB1"
"1780","SEMA4D","PLXNB2"
"1781","SEMA5A","MET"
"1782","SEMA5A","PLXNB3"
"1783","SEMA6D","KDR"
"1784","SEMA6D","PLXNA1"
"1785","SEMA7A","PLXNC1"
"1786","SERPINA1","LRP1"
"1787","SERPINC1","LRP1"
"1788","SERPINE1","LRP1"
"1789","SERPINE2","LRP1"
"1790","SERPING1","LRP1"
"1791","SHH","BOC"
"1792","SHH","CDON"
"1793","SHH","HHIP"
"1794","SHH","PTCH1"
"1795","SHH","SMO"
"1796","SLIT1","GPC1"
"1797","SLIT1","ROBO1"
"1798","SLIT1","SDC1"
"1799","SLIT2","GPC1"
"1800","SLIT2","ROBO1"
"1801","SLIT2","ROBO2"
"1802","SLIT2","ROBO4"
"1803","SLIT2","SDC1"
"1804","SOST","LRP5"
"1805","SOST","LRP6"
"1806","SPP1","CD44"
"1821","TDGF1","ACVR2A"
"1822","TFPI","LRP1"
"1823","TFPI","VLDLR"
"1824","TF","TFRC"
"1826","TGFB1","ACVRL1"
"1829","TGFB1","TGFBR3"
"1832","TGFB2","TGFBR3"
"1833","TGFB3","ACVRL1"
"1836","TGFB3","TGFBR3"
"1837","THBS1","CD36"
"1838","THBS1","CD47"
"1839","THBS1","SDC1"
"1840","THBS2","CD47"
"1850","TNFSF12","TNFRSF25"
"1864","TNF","LTBR"
"1867","TNF","TNFRSF21"
"1868","TPH1","HTR1A"
"1869","TPH1","HTR1B"
"1870","TPH1","HTR1D"
"1871","TPH1","HTR1E"
"1872","TPH1","HTR1F"
"1873","TPH1","HTR2A"
"1874","TPH1","HTR2B"
"1875","TPH1","HTR2C"
"1876","TPH1","HTR4"
"1877","TPH1","HTR5A"
"1878","TPH1","HTR6"
"1879","TPH1","HTR7"
"1887","ULBP2","KLRK1"
"1891","VCAM1","ITGAD"
"1892","VCAM1","ITGB1"
"1893","VCAM1","ITGB2"
"1896","VEGFA","NRP1"
"1897","VEGFA","NRP2"
"1899","VEGFB","NRP1"
"1902","VEGFC","NRP2"
"1903","VEGFC","VIPR2"
"1908","VTN","ITGA5"
"1910","WNT11","FZD7"
"1911","WNT1","FZD3"
"1912","WNT1","FZD8"
"1913","WNT1","FZD9"
"1914","WNT1","RYK"
"1916","WNT3","FZD8"
"1917","WNT3","LRP6"
"1918","WNT3","RYK"
"1919","WNT4","FZD2"
"1921","WNT5A","FZD2"
"1922","WNT5A","FZD4"
"1924","WNT5A","FZD7"
"1925","WNT5A","RYK"
"1926","WNT7A","FZD5"
"1927","WNT7B","FZD1"
"1928","WNT7B","FZD10"
"1929","WNT7B","LRP5"
"1932","ZP3","MERTK"
"1937","HLA-F","CD8A"
"1938","ICOSLG","ICOS"
"1939","NRXN1","NLGN1"
"1940","SPN","SIGLEC1"
"1941","ICOSLG","CD28"
"1942","ICOSLG","CTLA4"
"1943","CSHL1","GHR"
"1945","COL2A1","ITGA1"
"1947","LAMA1","ITGA1"
"1949","LAMA1","ITGA2"
"1950","LAMA1","ITGA3"
"1951","COL2A1","ITGA3"
"1952","LAMA1","ITGA6"
"1956","COL2A1","ITGA9"
"1957","LAMA1","ITGA9"
"1959","COL2A1","ITGA11"
"1960","COL2A1","ITGAV"
"1961","COL2A1","ITGB8"
"1962","LAMA1","ITGAV"
"1964","LAMA1","ITGB4"
"1965","COL2A1","CD44"
"1966","LAMA1","CD44"
"1967","COL2A1","SDC1"
"1968","COL2A1","GP6"
"1969","LAMA1","DAG1"
"1970","CCL3L3","CCR1"
"1977","ACE","BDKRB2"
"1978","ADAM10","EPHA3"
"1979","ADAM11","ITGA4"
"1985","ADAM15","ITGAV"
"1990","ADAM17","NOTCH1"
"1992","ADAM2","ITGA9"
"1994","ADAM2","ITGB7"
"1995","ADAM23","ITGA4"
"1998","ADAM28","ITGA4"
"1999","ADAM29","ITGA4"
"2000","ADAM7","ITGA4"
"2001","ADAM7","ITGB7"
"2002","ADAM9","ITGA3"
"2008","ADCYAP1","SCTR"
"2011","ADGRB1","RTN4R"
"2012","ADGRB1","RTN4RL1"
"2013","ADGRB1","RTN4RL2"
"2014","ADGRE5","CD55"
"2021","ADM","RAMP3"
"2025","ADM2","RAMP2"
"2026","ADM2","RAMP3"
"2027","AFDN","EPHA7"
"2028","AFDN","EPHB2"
"2029","AFDN","EPHB3"
"2030","AFDN","EPHB6"
"2031","AFDN","F11R"
"2032","AFDN","NECTIN1"
"2033","AFDN","NECTIN2"
"2034","AFDN","NECTIN3"
"2035","AFDN","NECTIN4"
"2036","AGRN","ATP1A3"
"2038","AGRN","LRP4"
"2043","AGRP","SDC3"
"2048","AHSG","INSR"
"2049","ALB","LRP2"
"2051","ALCAM","CHL1"
"2052","ALCAM","L1CAM"
"2053","ALCAM","NRP1"
"2054","ALKAL1","ALK"
"2055","ALKAL1","LTK"
"2056","ALKAL2","ALK"
"2057","ALKAL2","LTK"
"2058","AMBN","CD63"
"2059","AMELX","CD63"
"2060","AMELX","LAMP1"
"2061","AMELX","LAMP2"
"2062","AMELY","CD63"
"2063","AMELY","LAMP1"
"2064","AMELY","LAMP2"
"2067","AMH","EGFR"
"2068","ANG","PLXNB2"
"2069","ANGPT1","ITGA5"
"2070","ANGPT1","ITGB1"
"2074","ANGPT2","TIE1"
"2077","ANGPTL2","ITGA5"
"2078","ANGPTL2","ITGB1"
"2079","ANGPTL2","LILRB2"
"2080","ANGPTL3","ITGA5"
"2081","ANGPTL3","ITGAV"
"2082","ANGPTL3","ITGB3"
"2083","ANOS1","FGFR1"
"2084","ANOS1","SDC2"
"2085","ANPEP","SELE"
"2086","ANXA1","DYSF"
"2087","ANXA1","EGFR"
"2091","ANXA2","ROBO4"
"2092","ANXA2","TLR2"
"2093","APELA","APLNR"
"2095","APOB","ENO1"
"2097","APOB","LRP2"
"2098","APOB","LSR"
"2099","APOB","OLR1"
"2100","APOD","LEPR"
"2102","APOE","LRP1"
"2103","APOE","LRP2"
"2106","APOE","SCARB1"
"2109","APP","CAV1"
"2110","APP","CD74"
"2112","APP","GPC1"
"2113","APP","LRP1"
"2114","APP","NCSTN"
"2115","APP","TNFRSF21"
"2117","AREG","ERBB3"
"2118","ARF1","CHRM3"
"2119","ARF1","INSR"
"2121","ARTN","GFRA1"
"2125","ASIP","F11R"
"2127","ASIP","MC2R"
"2135","AZGP1","ITGAV"
"2136","B2M","CD1A"
"2137","B2M","CD1B"
"2138","B2M","HLA-F"
"2139","B2M","LILRB1"
"2140","BAG6","NCR3"
"2143","BDNF","SORT1"
"2144","BGN","FGFR3"
"2145","BGN","TLR2"
"2146","BGN","TLR4"
"2152","BMP10","ENG"
"2162","BMP2","ENG"
"2163","BMP2","HJV"
"2164","BMP2","RGMB"
"2169","BMP4","CFC1"
"2170","BMP4","RGMB"
"2171","BMP5","HJV"
"2177","BMP6","HJV"
"2184","BMP7","ENG"
"2185","BMP7","HJV"
"2186","BMP8A","ACVR2A"
"2187","BMP8A","ACVR2B"
"2188","BMP8A","BMPR1A"
"2189","BMP8A","BMPR2"
"2190","BMP8A","TGFBR1"
"2191","BMP8A","TGFBR2"
"2192","BSG","SELE"
"2193","BSG","SLC16A1"
"2194","BSG","SLC16A7"
"2195","BST2","LILRA4"
"2197","BTC","ERBB2"
"2200","BTLA","CD79A"
"2202","BTLA","VTCN1"
"2203","C1QA","CD33"
"2204","C1QA","CD93"
"2205","C1QA","CSPG4"
"2206","C1QB","CD33"
"2207","C1QB","LRP1"
"2208","C1QTNF1","AVPR2"
"2210","C3","C5AR2"
"2211","C3","CD19"
"2212","C3","CD46"
"2213","C3","CR1"
"2214","C3","CR2"
"2215","C3","ITGAM"
"2219","C3","NRP1"
"2220","C4A","C3AR1"
"2221","C4A","C5AR2"
"2222","C4A","CR1"
"2223","C4A","NRP1"
"2224","C4B","CD46"
"2225","C4B","CR1"
"2226","C4BPA","BMPR2"
"2227","C4BPA","CD40"
"2228","C4BPA","LRP1"
"2232","CADM1","CADM3"
"2233","CADM1","CRTAM"
"2234","CADM1","NECTIN3"
"2235","CADM3","CADM1"
"2237","CADM3","NECTIN1"
"2238","CADM3","NECTIN3"
"2242","CALCA","RAMP2"
"2246","CALR","ITGA3"
"2247","CALR","ITGAV"
"2248","CALR","LRP1"
"2249","CALR","MTNR1A"
"2251","CALR","TSHR"
"2257","CCL11","ACKR4"
"2263","CCL13","ACKR4"
"2270","CCL14","CCR3"
"2277","CCL16","CCR8"
"2279","CCL17","ACKR1"
"2280","CCL17","ACKR2"
"2283","CCL18","CCR3"
"2284","CCL18","CCR8"
"2285","CCL18","PITPNM3"
"2286","CCL19","ACKR2"
"2288","CCL19","CCR10"
"2292","CCL2","ACKR1"
"2294","CCL2","ACKR4"
"2296","CCL2","CCR10"
"2301","CCL20","ACKR4"
"2304","CCL21","ACKR2"
"2306","CCL21","CCR10"
"2309","CCL22","ACKR2"
"2314","CCL25","ACKR2"
"2316","CCL25","CCR10"
"2318","CCL26","CCR1"
"2321","CCL27","ACKR2"
"2323","CCL28","ACKR2"
"2326","CCL3","ACKR2"
"2328","CCL3","CCR3"
"2329","CCL3","CCR4"
"2331","CCL3L1","ACKR2"
"2332","CCL3L1","CCR1"
"2333","CCL3L1","CCR3"
"2334","CCL3L1","CCR5"
"2335","CCL3L3","ACKR2"
"2339","CCL4","CCR3"
"2342","CCL4L1","CCR1"
"2343","CCL4L1","CCR3"
"2345","CCL5","ACKR1"
"2353","CCL5","SDC1"
"2354","CCL5","SDC4"
"2355","CCL7","ACKR1"
"2357","CCL7","ACKR4"
"2359","CCL7","CCR10"
"2364","CCL8","ACKR1"
"2366","CCL8","ACKR4"
"2371","CCN1","ITGA5"
"2372","CCN1","ITGAM"
"2373","CCN1","ITGAV"
"2374","CCN1","ITGB2"
"2375","CCN1","ITGB3"
"2376","CCN1","ITGB5"
"2377","CCN1","SDC4"
"2378","CCN2","FGFR2"
"2379","CCN2","IGF2R"
"2380","CCN2","ITGA5"
"2381","CCN2","ITGAM"
"2382","CCN2","ITGB2"
"2383","CCN2","LRP1"
"2384","CCN2","LRP6"
"2385","CCN2","NTRK1"
"2386","CCN3","NOTCH1"
"2387","CCN4","ITGA5"
"2388","CCN4","ITGB1"
"2389","CD14","ITGA4"
"2390","CD14","ITGB1"
"2391","CD160","TNFRSF14"
"2392","CD177","PECAM1"
"2393","CD1D","LILRB2"
"2394","CD2","CD48"
"2395","CD200","CD200R1"
"2396","CD200","CD200R1L"
"2397","CD200R1","CD200"
"2398","CD209","ICAM3"
"2399","CD22","PTPRC"
"2400","CD226","NECTIN2"
"2401","CD226","PVR"
"2403","CD244","CD48"
"2407","CD28","CD86"
"2408","CD34","SELE"
"2410","CD34","SELP"
"2411","CD38","PECAM1"
"2413","CD44","SELE"
"2414","CD47","SIRPA"
"2415","CD47","SIRPG"
"2416","CD48","CD2"
"2417","CD48","CD244"
"2418","CD52","SIGLEC10"
"2419","CD55","ADGRE5"
"2421","CD59","CD2"
"2422","CD5L","CD5"
"2423","CD6","ALCAM"
"2428","CD84","CD84"
"2431","CD9","L1CAM"
"2432","CD96","NECTIN1"
"2433","CD96","PVR"
"2434","CD99","PILRA"
"2435","CD99","PILRB"
"2436","CDH1","EGFR"
"2437","CDH1","IGF1R"
"2440","CDH1","KLRG1"
"2441","CDH1","PTPRM"
"2442","CEACAM1","CD209"
"2443","CEACAM1","HAVCR2"
"2444","CEACAM1","SELE"
"2445","CEACAM5","CD1D"
"2446","CEACAM5","CD8A"
"2447","CEACAM6","CEACAM8"
"2448","CEACAM8","CEACAM1"
"2449","CEL","CXCR4"
"2450","CFH","ITGAM"
"2452","CFP","NCR1"
"2454","CGB3","LHCGR"
"2455","CGN","F11R"
"2458","CIRBP","TREM1"
"2463","CLEC11A","ITGA10"
"2464","CLEC11A","ITGA11"
"2465","CLEC11A","ITGB1"
"2466","CLEC2A","KLRF2"
"2467","CLEC2B","KLRF1"
"2468","CLEC2D","KLRB1"
"2469","CLEC4G","LAG3"
"2471","CNTF","IL6R"
"2474","CNTN1","NOTCH1"
"2475","CNTN1","NOTCH2"
"2476","CNTN1","PTPRZ1"
"2477","CNTN2","CNTN1"
"2479","CNTN2","NRCAM"
"2480","CNTN4","PTPRG"
"2481","CNTN6","NOTCH1"
"2482","COL11A1","DDR1"
"2483","COL14A1","CD44"
"2485","COL18A1","GPC4"
"2488","COL18A1","KDR"
"2489","COL18A1","PTPRS"
"2490","COL1A1","CD36"
"2492","COL1A1","CD93"
"2498","COL1A1","ITGA5"
"2500","COL1A2","CD44"
"2501","COL1A2","CD93"
"2502","COL1A2","GP6"
"2503","COL1A2","ITGA11"
"2504","COL1A2","ITGA2"
"2505","COL1A2","ITGB1"
"2506","COL1A2","ITGB3"
"2507","COL2A1","DDR1"
"2511","COL2A1","MAG"
"2512","COL2A1","TNFRSF10A"
"2513","COL3A1","DDR1"
"2514","COL3A1","DDR2"
"2515","COL3A1","MAG"
"2516","COL4A1","CD93"
"2518","COL4A1","ITGAV"
"2521","COL4A2","CD93"
"2522","COL4A3","CD47"
"2523","COL4A3","CD93"
"2524","COL4A3","ITGAV"
"2525","COL4A5","CD93"
"2526","COL4A6","CD93"
"2527","COL5A1","SDC3"
"2528","COL5A2","DDR1"
"2530","COL8A1","ITGA1"
"2531","COL8A1","ITGA2"
"2532","COL9A1","MAG"
"2533","COL9A2","MAG"
"2534","COL9A3","MAG"
"2535","COLQ","MUSK"
"2537","COMP","ITGA5"
"2546","CP","SLC40A1"
"2547","CPAMD8","SCTR"
"2550","CRLF1","CNTFR"
"2551","CRP","OLR1"
"2552","CRTAM","CADM1"
"2557","CSF2","IL3RA"
"2558","CSF2","SDC2"
"2563","CTHRC1","FZD3"
"2564","CTHRC1","FZD5"
"2565","CTHRC1","FZD6"
"2566","CTHRC1","ROR2"
"2568","CX3CL1","ITGAV"
"2569","CX3CL1","ITGB3"
"2570","CXADR","CXADR"
"2571","CXADR","JAML"
"2572","CXCL1","ACKR1"
"2577","CXCL10","SDC4"
"2582","CXCL12","CD4"
"2585","CXCL12","ITGA4"
"2586","CXCL12","ITGA5"
"2587","CXCL12","ITGAV"
"2588","CXCL12","ITGB1"
"2589","CXCL12","ITGB3"
"2590","CXCL13","ACKR4"
"2591","CXCL13","CCR10"
"2592","CXCL13","CXCR3"
"2594","CXCL14","CXCR4"
"2596","CXCL17","GPR35"
"2602","CXCL5","ACKR1"
"2607","CXCL8","ACKR1"
"2610","CXCL8","SDC1"
"2611","CXCL8","SDC2"
"2614","CYTL1","CCR2"
"2615","DAG1","LAMA4"
"2616","DCN","EGFR"
"2617","DCN","ERBB4"
"2618","DCN","MET"
"2619","DCN","TLR2"
"2620","DCN","TLR4"
"2621","DEFB1","CCR6"
"2622","DEFB103A","CCR6"
"2623","DEFB103B","CCR2"
"2624","DEFB103B","CCR6"
"2625","DEFB106A","CCR2"
"2627","DEFB4A","TLR4"
"2629","DHH","BOC"
"2630","DHH","CDON"
"2632","DHH","PTCH1"
"2636","DKK1","LRP4"
"2637","DKK1","LRP5"
"2639","DKK2","KREMEN1"
"2640","DKK2","KREMEN2"
"2641","DKK2","LRP5"
"2643","DKK4","KREMEN1"
"2644","DKK4","KREMEN2"
"2645","DKK4","LRP6"
"2650","DLK2","NOTCH1"
"2663","DNAJB11","PRTG"
"2664","DSC1","DSG1"
"2665","DSC1","DSG2"
"2666","DSC1","DSG3"
"2667","DSC1","DSG4"
"2668","DSC2","DSG1"
"2669","DSC2","DSG2"
"2670","DSC2","DSG3"
"2671","DSC2","DSG4"
"2672","DSC3","DSG1"
"2673","DSC3","DSG2"
"2674","DSC3","DSG3"
"2675","DSC3","DSG4"
"2676","DSG1","DSC3"
"2677","DSG2","DSC1"
"2678","DSG2","DSC3"
"2679","DSPP","ITGB6"
"2680","EBI3","IL27RA"
"2681","EBI3","IL6ST"
"2682","ECM1","ITGB4"
"2685","EDIL3","ITGB3"
"2687","EDN1","EDNRB"
"2688","EDN1","KEL"
"2690","EDN2","EDNRB"
"2691","EDN2","KEL"
"2692","EDN3","EDNRA"
"2694","EDN3","KEL"
"2695","EFEMP1","EGFR"
"2737","EFNA5","EPHB1"
"2739","EFNA5","EPHB6"
"2746","EFNB1","ERBB2"
"2747","EFNB2","EPHA3"
"2749","EFNB2","EPHA6"
"2755","EFNB2","GRM1"
"2756","EFNB2","GRM5"
"2757","EFNB2","PECAM1"
"2758","EFNB2","RHBDL2"
"2765","EFNB3","RHBDL2"
"2767","EGF","ERBB2"
"2768","EGF","ERBB3"
"2769","EGF","ERBB4"
"2770","ENAM","CD63"
"2771","ENHO","GPR19"
"2772","EPCAM","EPCAM"
"2774","EPHA4","EFNB1"
"2775","EPO","CRLF3"
"2776","EPO","EPHB4"
"2780","F10","F3"
"2781","F11","GP1BA"
"2783","F12","GP1BA"
"2784","F13A1","ITGA4"
"2785","F13A1","ITGA9"
"2786","F13A1","ITGB1"
"2791","F2","GP1BA"
"2792","F2","GP9"
"2793","F2","ITGA2B"
"2794","F2","THBD"
"2796","F8","ASGR2"
"2797","F8","LDLR"
"2800","FAM3C","LIFR"
"2801","FAM3D","FPR1"
"2802","FAM3D","FPR2"
"2805","FAT4","DCHS1"
"2806","FBLN1","ITGB1"
"2807","FBN1","ITGA5"
"2808","FBN1","ITGAV"
"2809","FBN1","ITGB1"
"2810","FBN1","ITGB3"
"2811","FCER2","CR2"
"2812","FCN2","LRP1"
"2813","FGA","ITGA2B"
"2814","FGA","ITGA5"
"2815","FGA","ITGAM"
"2816","FGA","ITGAV"
"2818","FGA","ITGB1"
"2820","FGA","ITGB3"
"2821","FGA","TLR4"
"2822","FGB","ITGA2B"
"2823","FGB","ITGA5"
"2824","FGB","ITGAM"
"2825","FGB","ITGAV"
"2826","FGB","ITGB1"
"2827","FGB","ITGB2"
"2828","FGB","TLR4"
"2829","FGF1","CD44"
"2830","FGF1","CSPG4"
