"","L","R"
"208","IL1A","IL1RAP"
"209","IL1A","IL1R1"
"210","IL1A","IL1R2"
"211","IL1B","IL1RAP"
"212","IL1B","IL1R1"
"213","IL1B","IL1R2"
"214","IL18","IL18RAP"
"215","IL18","IL18R1"
"216","CXCL11","ACKR3"
"217","CXCL12","ACKR3"
"218","CCL1","CCR8"
"219","IL25","IL17RB"
"220","IL25","IL17RA"
"221","IL17A","IL17RA"
"222","IL17A","IL17RC"
"223","IL17F","IL17RA"
"224","IL17F","IL17RC"
"225","IL17C","IL17RA"
"226","IL17C","IL17RE"
"227","IL17B","IL17RB"
"228","CD58","CD2"
"229","CD80","CD28"
"230","CD80","CTLA4"
"231","CD86","CD28"
"232","CD86","CTLA4"
"233","HLA-A","CD8A"
"234","CD274","PDCD1"
"235","PDCD1LG2","PDCD1"
"237","ITGB2","CD226"
"238","ITGAL","CD226"
"239","ITGB2","ICAM1"
"240","ITGAL","ICAM1"
"241","ICAM1","ITGB2"
"242","ICAM1","ITGAL"
"243","CD28","CD80"
"244","ITGAM","ICAM1"
"245","ITGB1","VCAM1"
"246","ITGA4","VCAM1"
"247","ITGA9","VCAM1"
"248","SELPLG","SELP"
"249","SELPLG","SELE"
"250","PECAM1","PECAM1"
"251","PVR","CD226"
"252","NECTIN2","CD226"
"253","CNTN1","NRCAM"
"254","NCAM1","NCAM1"
"255","L1CAM","L1CAM"
"256","NECTIN1","NECTIN1"
"257","ALCAM","CD6"
"258","PTPRC","CD22"
"259","CD40","CD40LG"
"260","F11R","F11R"
"261","JAM2","JAM2"
"262","JAM3","JAM2"
"263","JAM2","JAM3"
"264","JAM3","JAM3"
"265","JAM3","ITGB2"
"266","JAM3","ITGAM"
"267","SELP","SELPLG"
"268","ICAM2","ITGB2"
"269","ICAM2","ITGAL"
"270","F11R","ITGB2"
"271","F11R","ITGAL"
"272","ICAM3","ITGB2"
"273","ICAM3","ITGAL"
"274","ICAM2","ITGAM"
"275","JAM2","ITGB1"
"276","JAM2","ITGA4"
"277","VCAM1","ITGB7"
"278","VCAM1","ITGA4"
"279","MADCAM1","ITGB7"
"280","MADCAM1","ITGA4"
"281","SELL","MADCAM1"
"282","CD34","SELL"
"283","SELE","GLG1"
"284","NECTIN3","NECTIN1"
"285","L1CAM","NCAM1"
"286","CADM1","CADM1"
"287","CADM3","CADM3"
"288","PTPRM","PTPRM"
"289","CNTN2","L1CAM"
"290","CNTN2","CNTNAP2"
"291","NECTIN2","NECTIN3"
"292","CD80","CD274"
"293","PVR","TIGIT"
"294","NECTIN2","TIGIT"
"295","CD274","CD80"
"296","NECTIN3","TIGIT"
"297","F11R","JAM2"
"298","F11R","JAM3"
"299","LRRC4C","NTNG1"
"300","LRRC4","NTNG2"
"301","LRRC4B","PTPRF"
"302","CGA","FSHR"
"303","CGA","LHCGR"
"304","CGA","TSHR"
"305","CSH1","GHR"
"308","COL1A1","ITGB1"
"309","COL1A1","ITGA1"
"310","LAMC3","ITGB1"
"311","LAMC3","ITGA1"
"312","COL1A1","ITGA2"
"313","LAMC3","ITGA2"
"314","CHAD","ITGA2"
"315","CHAD","ITGB1"
"316","LAMC3","ITGA3"
"317","RELN","ITGA3"
"318","RELN","ITGB1"
"319","COMP","ITGA3"
"320","COMP","ITGB1"
"321","COL1A1","ITGA3"
"322","FN1","ITGA3"
"323","FN1","ITGB1"
"324","FN1","ITGA4"
"325","SPP1","ITGA4"
"326","SPP1","ITGB1"
"327","FN1","ITGA5"
"328","LAMC3","ITGA6"
"329","LAMC3","ITGA7"
"330","FN1","ITGA8"
"331","VTN","ITGB1"
"332","VTN","ITGA8"
"333","TNC","ITGB1"
"334","TNC","ITGA8"
"335","TNC","ITGA9"
"336","SPP1","ITGA9"
"337","COL1A1","ITGA9"
"338","LAMC3","ITGA9"
"339","COL1A1","ITGA10"
"340","COL1A1","ITGA11"
"341","FN1","ITGAV"
"342","SPP1","ITGAV"
"343","VTN","ITGAV"
"344","FN1","ITGB7"
"345","VTN","ITGB3"
"346","FN1","ITGB3"
"347","VWF","ITGAV"
"348","VWF","ITGB3"
"349","SPP1","ITGB3"
"350","TNC","ITGAV"
"351","TNC","ITGB3"
"352","IBSP","ITGAV"
"353","IBSP","ITGB3"
"354","COMP","ITGAV"
"355","COMP","ITGB3"
"356","VTN","ITGA2B"
"357","FN1","ITGA2B"
"358","VWF","ITGA2B"
"359","COMP","ITGA2B"
"360","VTN","ITGB5"
"361","IBSP","ITGB5"
"362","SPP1","ITGB5"
"363","FN1","ITGB6"
"364","TNC","ITGB6"
"365","COL1A1","ITGAV"
"366","COL1A1","ITGB8"
"367","FN1","ITGB8"
"368","LAMC3","ITGAV"
"369","LAMC3","ITGB8"
"370","VTN","ITGB8"
"371","LAMC3","ITGB4"
"372","COL1A1","CD44"
"373","FN1","CD44"
"374","LAMC3","CD44"
"375","COL1A1","SDC1"
"376","FN1","SDC1"
"377","COMP","SDC1"
"378","TNC","SDC1"
"379","COMP","CD36"
"380","VWF","GP9"
"381","VWF","GP1BB"
"382","VWF","GP1BA"
"383","COL1A1","GP6"
"384","LAMC3","DAG1"
"385","AGRN","DAG1"
"386","HSPG2","DAG1"
"387","COMP","CD47"
"388","C3","C3AR1"
"389","ADM2","CALCR"
"390","CALCB","CALCR"
"391","IAPP","CALCR"
"392","CALCA","CALCR"
"393","ADM","MRGPRX2"
"394","ADM","GPR182"
